time,vehicle_id,speed
149,65,0
150,65,2.47167959088555
151,65,4.27169755483695
152,65,6.8239651230058
153,65,9.38618665912843
154,65,11.1454116119594
155,65,11.8588532329227
156,65,11.8887047233918
157,65,12.1603495015563
158,65,11.637955146846
159,65,11.628004987959
160,65,11.5971591348916
161,65,12.180250407935
162,65,11.8389526563797
163,65,11.4668086231523
164,65,12.1902009827566
165,65,12.3314962595785
166,65,12.3812479177182
167,65,12.2309975063361
168,65,11.9553335377981
169,65,12.2508979262746
170,65,11.6777566338745
171,65,11.4469078794231
172,65,11.8887047233918
173,65,11.4270074822764
174,65,11.7384539016005
175,65,12.4817466726416
176,65,11.4469078794232
177,65,12.2707986700133
178,65,11.4469078794231
179,65,11.7882059703756
180,65,11.6578557205003
181,65,11.547406635258
182,65,11.3563594518666
183,65,11.9902001651349
184,65,11.7374613950377
185,65,11.2558606956554
186,65,11.8688036465349
186,81,0
187,65,11.8290024938707
187,81,2.44182308941496
188,65,12.120548667449
188,81,4.15030119388942
189,65,12.1503991703977
189,81,5.52743159161649
190,65,8.97424091497437
190,81,8.02000000000002
191,65,4.47269493705976
191,81,9.86877905315546
192,65,1.58710428138796
192,81,12.120548667449
193,65,0.070710678118655
193,81,14.2001760552466
194,65,0
194,81,15.0947143066704
195,65,0
195,81,15.417107381088
196,65,0
196,81,14.823069857489
197,65,0
197,81,14.5623693127183
198,65,0
198,81,15.0982912940505
199,65,0
199,81,15.2559103300983
200,65,0
200,81,14.8131191853708
201,65,0
201,81,15.2360099763685
202,65,0
202,81,15.0141166906348
202,88,0
203,65,0
203,81,15.4370074820219
203,88,2.3313729860321
204,65,0
204,81,14.4111241754417
204,88,3.82890323722081
205,65,0
205,81,14.6728184068365
205,88,5.74833019232539
206,65,0
206,81,14.7733171630477
206,88,7.71850374101095
207,65,0
207,81,14.5932176027085
207,88,9.45683350810404
208,65,0
208,81,15.376309700315
208,88,10.8339651097832
209,65,0
209,81,15.2658606046302
209,88,12.984240447558
210,65,0.553263047744919
210,81,14.4111241754417
210,88,13.6280299383293
211,65,2.37118114027588
211,81,14.8539153087662
211,88,13.6976822857007
212,65,4.63289326447308
212,81,14.8439651037046
212,88,13.5066354063475
213,65,5.5980800280096
213,81,14.682768812455
213,88,13.2757862290713
214,65,7.08566157814498
214,81,15.3056623509079
214,88,14.3315212032778
215,65,7.26154942143893
215,81,15.0648630926404
215,88,13.5971835318937
216,65,7.04912051251786
216,81,15.376309700315
216,88,13.6777812528202
217,65,7.34429029927331
217,81,15.3156129488832
217,88,14.3037093091268
218,65,7.54578690396171
218,81,14.5126186472325
218,88,14.3315212032778
219,65,9.1045922478714
219,81,14.9136179379787
219,88,13.466833332302
220,65,10.4518706459657
220,81,14.4917217748617
220,88,13.8986797934192
221,65,11.7892026872049
221,81,14.9643643366499
221,88,13.8290274423042
222,65,11.4260141781813
222,81,7.97025093707845
222,88,14.2708233819917
223,65,12.4827440893419
223,81,3.45676149018124
223,88,14.1902255091313
224,65,11.8787541434277
224,81,0
224,88,13.5175811445687
225,65,11.2359601280887
225,81,0
225,88,14.1096279185526
226,65,12.1702999141352
226,81,0
226,88,13.3762849850024
227,65,11.346409123595
227,81,0
227,88,13.5474314908768
228,65,12.3205519356886
228,81,0
228,88,13.3961860243877
229,65,11.7769987687866
229,81,0
229,88,13.1862352474086
230,65,12.0906989045299
230,81,0
230,88,14.4310256045785
231,65,11.8688036465349
231,81,0
231,88,14.3514215323779
232,65,11.4568582080778
232,81,0
232,88,13.2459352255702
233,65,11.8489029028007
233,81,0
233,88,13.2857367127307
234,65,12.0797516530763
234,81,0
234,88,13.9394763172796
235,65,11.4568582080778
235,81,0
235,88,13.8489277563283
236,65,11.3563594518666
236,81,0
236,88,13.4867342229318
237,65,11.697657885235
237,81,0
237,88,14.4310256045785
238,65,11.5673073789884
238,81,0
238,88,13.5772824968769
239,65,12.0200499167017
239,81,0
239,88,13.1653370636684
240,65,12.1304987531428
240,81,0
240,88,8.66379247212213
241,65,11.667806134831
241,81,0
241,88,4.35129865672307
242,65,11.8787541434277
242,81,0
242,88,0.0300000000000011
243,65,12.2409476757317
243,81,0
