time,vehicle_id,x,y
2320,960,388.65,-43.69
2311,982,229.58,-27.78
264,74,-10.13,-3.81
1803,761,-11.83,-3.64
2414,1025,281.44,-32.97
2292,960,20.25,-6.85
1633,679,438.45,-48.67
1630,679,403.53,-45.18
551,190,289.93,-33.82
3299,1386,491.83,-54.01
1964,827,290.7,-33.9
2158,922,-11.83,-3.64
2329,1003,-30.42,-1.78
1258,517,248.93,-26.5
1070,460,-347.8,29.95
1083,454,32.85,-8.11
845,336,442.45,-49.07
3460,1511,-469.05,42.08
1085,474,-493.58,44.53
1568,679,-344.55,29.63
2228,922,332.3,-38.06
1136,488,-271.67,22.34
1845,761,-11.83,-3.64
2455,1041,-11.83,-3.64
3457,1469,259.09,-30.73
3243,1405,-179.79,16.37
102,43,-482.83,43.46
811,336,6,-5.42
2617,1139,-353.74,30.55
2827,1229,-319.42,27.12
2198,960,-485.38,43.71
2354,1016,-166.25,11.8
3266,1405,-18.97,0.29
3526,1511,41.07,-8.93
3179,1356,-3.47,-4.48
564,190,486.17,-53.45
2465,1041,-5.15,-4.31
3263,1420,-359.45,31.12
372,142,38.17,-8.64
1582,679,-175.04,12.68
704,305,-453.01,40.47
2369,1003,-11.83,-3.64
902,366,266.79,-31.5
2936,1229,366.02,-41.43
2230,960,-76.36,2.81
1576,679,-248.38,20.01
3599,1545,-19.29,-2.89
3247,1401,-19.41,-2.88
2336,1016,-385.3,33.7
1142,458,-11.83,-3.64
3215,1356,437.78,-48.61
3181,1343,133.43,-18.17
1891,825,-477.68,42.94
3307,1405,413.17,-46.14
2653,1144,-137.9,8.97
1755,761,-361.45,31.32
1121,474,-35.78,-1.25
1832,792,-252.73,20.45
2684,1144,178.82,-22.71
91,31,-272.87,25.68
3013,1314,-420.74,37.25
2321,1003,-148.53,10.03
3204,1356,298.83,-34.71
1249,526,138.97,-18.72
2733,1175,8.7,-5.69
145,31,457.93,-50.62
2537,1100,-277.13,22.89
2228,961,-142.13,9.39
3541,1545,-427.29,37.9
3265,1401,48.13,-9.64
309,119,-48.57,0.03
3076,1343,-474.13,42.59
2225,923,269.79,-31.8
721,299,-45.19,2.91
2414,1045,-227.4,17.92
3386,1420,393.45,-44.17
1938,833,-95.55,4.73
2201,960,-456.47,40.82
1515,647,-119.84,7.16
135,46,-91.74,4.35
2175,922,-11.83,-3.64
1691,710,222.48,-23.86
