time,vehicle_id,x,y
684,281,-11.83,-3.64
2158,923,-11.51,-0.46
3266,1420,-330,28.17
358,124,30.87,-7.91
1553,647,320.33,-36.86
1181,458,434.52,-48.28
1655,710,-113.21,6.5
3091,1343,-277.33,22.91
2704,1175,-284.99,23.67
2625,1139,-232.71,18.45
1099,474,-331.86,28.36
2754,1176,254.43,-30.27
3375,1420,283.5,-33.18
2319,982,327.57,-37.58
3126,1356,-224.98,20.89
640,261,-28.95,-1.93
1128,460,-11.51,-0.46
2220,944,160.03,-20.83
3205,1343,448.91,-49.72
1703,712,344.96,-39.32
3479,1511,-262.21,21.4
2214,922,143.44,-19.17
158,46,-11.51,-0.46
3455,1469,235.4,-28.36
2233,923,374.18,-42.24
3404,1451,463.13,-51.14
2696,1144,301.27,-34.95
3306,1420,-11.83,-3.64
2509,1045,447.11,-49.54
2544,1100,-193.51,14.53
3370,1420,232.69,-28.09
1338,545,219.69,-26.79
3202,1343,409.32,-45.76
2928,1229,267.83,-31.61
1241,499,76.37,-12.46
991,419,-40.95,-0.73
2209,944,22.45,-7.07
1949,825,126.38,-17.46
502,190,-11.51,-0.46
1859,792,89.58,-10.57
1669,710,-11.51,-0.46
3207,1386,-60.24,1.2
2561,1119,-490.41,44.21
1805,761,-11.83,-3.64
140,60,-490.68,44.24
733,281,382.05,-43.03
832,336,276.08,-32.43
383,142,186.57,-23.48
141,31,396.93,-44.52
3204,1384,-11.88,-3.64
2833,1229,-243.09,19.48
1536,647,124.1,-17.23
115,43,-298.95,25.07
1655,696,-11.83,-3.64
1621,696,-149.15,10.09
2375,1016,-18.97,0.29
1172,499,-157.18,10.89
2239,957,129.99,-17.82
2439,1041,-11.83,-3.64
1906,833,-493.07,44.48
2229,957,-0.64,-4.76
3106,1314,337.7,-38.6
2709,1144,434.4,-48.27
2722,1176,-51.95,0.37
1180,474,422.34,-43.84
1694,712,212.32,-26.06
3374,1451,118.31,-16.66
2232,961,-89.77,4.15
2707,1144,414.05,-46.23
2263,961,-11.51,-0.46
3421,1488,-286.05,23.78
2309,960,245.52,-29.38
374,142,64.86,-11.31
455,190,-252.36,20.41
1974,833,387.02,-43.53
2732,1166,18,-6.62
3170,1386,-492.95,44.47
775,336,-459.16,41.09
3254,1384,-11.83,-3.64
2543,1091,-11.83,-3.64
3362,1451,-20.46,-2.78
166,46,-11.51,-0.46
1745,761,-476.54,42.83
2327,1003,-59.2,1.1
1676,712,-19.46,-2.88
2684,1166,-270.56,22.23
1070,458,-254.79,20.65
1282,545,-20.78,-2.74
