time,vehicle_id,x,y
1520,637,0.46,-11.51
2917,1244,-250.42,29.87
2341,1020,-36.7,-415.27
2707,1152,-0.29,-18.97
2312,992,-3.77,-53.83
238,68,-1.03,-26.43
2948,1261,-0.29,-18.97
1602,658,-491.26,53.95
920,402,-44.71,-495.41
252,84,-0.32,-19.29
331,126,0.46,-11.51
1844,788,-29.84,4.59
3414,1491,-42.87,-476.98
1737,729,-0.29,-18.97
3506,1492,-1.45,-30.64
3499,1502,-2.53,-41.36
3161,1336,-71.95,8.81
859,347,-0.29,-18.97
3472,1485,-0.29,-18.97
1814,788,-32.48,-373.04
1515,637,0.46,-11.51
555,214,-1.03,-26.43
3407,1484,-31.13,-359.56
739,303,0.46,-11.51
3076,1297,-133.41,14.95
2673,1150,-0.68,-22.91
3432,1484,-5.89,-74.95
723,286,-433.7,48.2
2330,964,-497.31,54.56
1253,511,-492.15,50.82
3333,1427,-25.12,4.12
254,68,-12.87,2.9
3077,1297,-148.63,16.47
2282,964,-8.57,2.23
459,174,-301.97,35.02
864,329,-4.21,0.75
1676,726,-28.74,-335.63
880,329,-216.84,23.29
3044,1297,-0.3,-19.08
1106,471,-12.31,-139.21
1751,726,-89.39,10.55
3317,1435,-4.41,-60.24
305,131,-41.87,-466.98
2974,1300,-44.49,-493.18
3112,1333,-0.29,-18.97
516,214,-17.2,-188.11
1320,537,-181.31,19.74
2461,1063,-9.87,-114.78
1243,518,-317.42,33.35
1431,586,-460.76,47.68
721,311,-37.58,-424.07
3525,1502,-139.42,18.77
2943,1255,0.46,-11.51
3352,1427,-273.28,28.94
2271,948,0.3,-5.15
1756,729,-118.22,13.43
3064,1309,-1.78,-33.9
3503,1492,-1.78,-33.9
2214,948,0.46,-11.51
1344,577,-18.9,-205.06
3024,1309,-16.41,-180.17
974,402,-137.93,15.4
2639,1110,-192.66,20.88
3294,1427,-10.55,-121.64
1535,662,-26.68,-282.87
2654,1150,-23.1,-247.1
3511,1491,-25.23,4.13
2935,1277,-29.05,-338.73
1304,533,-4.21,0.74
2554,1110,-30.1,-317.11
2919,1255,0.46,-11.51
324,131,-17.45,-190.54
166,67,-33.61,-384.42
2505,1067,-1.03,-26.43
2548,1087,-84.2,10.03
3429,1491,-25.3,-269.12
2998,1255,-309,35.73
3443,1492,-12.82,-144.3
2548,1063,-149.22,16.53
2273,963,-0.63,-22.44
887,384,-35.76,-405.89
1361,586,-22.69,-243.01
3057,1309,-1.78,-33.9
3497,1492,-1.78,-33.9
1154,471,-340.7,35.68
2313,992,-2.73,-43.38
3496,1485,-0.29,-18.97
607,214,-78.2,9.43
2562,1092,-252.62,26.87
256,68,-34.26,5.04
3505,1526,-28.66,-334.85
3499,1512,-4.02,-56.29
1329,533,-319.98,36.82
3141,1333,0.46,-11.51
739,315,-26.37,-311.96
959,401,-4.26,0.78
789,329,-2.49,-40.99
2701,1150,0.46,-11.51
167,63,-22.45,-240.57
2428,1039,0.46,-11.51
973,402,-125.27,14.14
3425,1491,-31.18,-327.86
2872,1244,-20.15,-217.58
3116,1309,-492.47,54.07
465,174,-387.52,43.58
3191,1361,-391.18,43.94
2681,1150,0.46,-11.51
3458,1491,-1.03,-26.43
871,347,-47.26,6.34
2294,992,-23.01,-246.2
494,214,-42.78,-476.05
2238,964,-16.06,-176.74
3572,1559,-39.5,-443.26
2035,878,-14.4,-160.12
1419,577,-320.65,33.67
988,417,-9.24,-108.54
2915,1244,-228.45,27.67
3507,1491,0.4,-12.15
2946,1255,0.46,-11.51
997,402,-425.03,47.33
1756,726,-153.01,16.91
158,35,-0.29,-18.97
898,347,-382.83,43.11
487,203,-19.99,-216.01
1201,511,-4.42,-60.35
1255,533,-5.75,-73.57
3066,1300,-0.17,-17.83
1998,846,0.46,-11.51
2633,1150,-43.74,-485.65
2988,1255,-161.46,17.76
1108,471,-9.55,-111.59
976,392,-266.6,31.49
3442,1502,-38.62,-434.46
891,329,-365.73,38.18
3482,1502,-2.53,-41.36
256,67,-55.48,7.16
3543,1491,-462.06,47.81
888,364,-173.36,22.16
3500,1484,0.46,-11.51
750,311,-1.6,-32.14
3065,1333,-29.48,-343.02
2308,997,-10.18,-117.87
3494,1507,-3.27,-48.83
939,401,-23.27,-248.78
581,234,-0.36,-19.72
1056,417,-169.62,21.79
854,364,-24.02,-256.29
3078,1333,-17.36,-189.73
867,364,-7.04,-86.52
847,347,-0.29,-18.97
2017,872,-20.24,-218.5
2937,1244,-464.8,51.31
1269,533,0.46,-11.51
1141,471,-162.32,17.84
3166,1336,-139.24,15.53
1339,544,-418.21,43.43
852,329,0.46,-11.51
3331,1427,-6.36,1.68
135,35,-1.03,-26.43
2141,910,0.46,-11.51
323,131,-18.88,-204.9
1948,846,-30.79,-356.2
231,84,-4.55,-61.57
3540,1507,-363.31,37.94
2711,1152,-0.1,-17.09
3542,1512,-332.22,34.83
704,286,-157.49,17.36
2539,1067,-4.55,1
753,312,-6.09,-77.05
2311,963,-454.21,47.03
1429,577,-459.79,47.59
3369,1435,-466.39,48.25
1481,628,0.51,-9.44
2314,966,-479.96,52.82
3488,1502,-2.53,-41.36
3480,1512,-20.22,-218.26
1505,658,-44.71,-495.41
2309,966,-411.99,46.03
3508,1512,-4,-56.11
2885,1244,-6.18,-77.91
3048,1297,-0.29,-18.97
110,35,-16.82,-184.26
3153,1336,0.53,-10.78
805,329,-0.29,-18.97
838,347,-1.03,-26.44
1320,544,-157.92,17.4
775,310,-0.12,-17.35
962,416,-34.49,-393.21
1672,729,-41.63,-464.54
3329,1435,-0.65,-22.62
2347,997,-0.29,-18.97
728,315,-39.88,-447.07
3086,1333,-7.85,-94.63
3358,1435,-322.21,33.83
2691,1152,-0.29,-18.97
740,315,-28.28,-298.89
216,84,-23.04,-246.53
3050,1297,-0.29,-18.97
1311,570,-39.21,-440.37
3028,1297,-1.03,-26.43
1859,788,-238.38,28.66
960,402,-0.6,-22.11
1430,624,-43.56,-483.84
2044,859,-452.89,46.9
278,84,-271.16,28.72
3047,1328,-35.39,-402.14
3330,1427,-0.47,-3.5
3513,1502,-2.74,-0.35
3350,1435,-215.37,23.15
542,234,-39.52,-443.48
3416,1485,-24.6,-262.13
2432,1063,-44.53,-493.53
3035,1300,-1.78,-33.9
2735,1152,-253.02,26.91
984,384,-453.22,50.15
847,363,-26.48,-280.86
1690,704,-416.45,46.47
576,234,-1.78,-33.9
986,416,-1.79,-34.06
914,384,-0.43,-20.42
3415,1485,-25.92,-275.26
2564,1067,-340.33,38.86
105,38,-27.19,-320.16
2489,1067,-1.03,-26.43
100,17,-316.14,36.44
2022,872,-13.38,-149.87
778,310,-2.78,-0.32
2250,966,-1.78,-33.9
172,67,-27.03,-318.55
960,392,-61.06,7.72
2555,1092,-153.49,16.96
808,303,-463.35,51.16
1886,800,0.46,-11.51
757,303,0.46,-11.51
1026,442,-29.52,-311.25
2942,1277,-23.06,-246.67
1002,416,-0.29,-18.97
2881,1255,-36.14,-377.5
84,35,-43.33,-481.61
2522,1063,0.46,-11.51
766,329,-31.28,-361.07
3156,1361,0.49,-8.96
3151,1336,-0.15,-17.57
2305,964,-239.31,28.76
62,17,-19.29,-208.94
1151,471,-300.1,31.62
2560,1092,-224.1,24.02
3373,1441,-397.95,44.62
1214,511,-0.29,-18.97
1821,788,-25.86,-274.73
2266,948,0.46,-11.51
3455,1484,0.46,-11.51
267,68,-155.05,20.33
2078,878,-0.29,-18.97
3599,1559,-9.5,-111.1
1387,570,0.46,-11.51
2059,878,-0.29,-18.97
150,29,0.46,-11.51
1608,662,-435.34,45.14
2342,992,0.46,-11.51
721,310,-32.45,-372.81
3475,1512,-27.28,-288.83
2018,878,-35.09,-399.2
349,131,-145.11,16.12
252,68,-0.26,-3.96
2311,966,-439.19,48.75
2561,1092,-238.53,25.46
1513,624,-474.25,49.03
1179,511,-34.69,-395.15
3525,1507,-117.7,13.38
818,329,-0.29,-18.97
2737,1152,-277.65,29.37
3466,1507,-20.5,-221.04
155,29,0.46,-11.51
3465,1491,-1.03,-26.43
1597,637,-328.34,37.66
100,38,-32.99,-378.14
3356,1441,-192.32,24.06
2727,1150,-169.38,21.76
2299,966,-273.34,32.16
2663,1150,-12.4,-140.11
2175,910,0.46,-11.51
3466,1492,-1.78,-33.9
2214,910,-415.7,46.4
726,315,-42.11,-469.35
3163,1333,-116.05,16.43
889,329,-338.01,35.41
3438,1485,-1.33,-29.36
854,363,-15.18,-167.92
353,131,-202.29,21.84
2101,887,-6.11,1.62
2448,1063,-28.22,-298.28
1405,577,-128.34,14.44
2509,1063,-0.29,-18.97
3278,1427,-29.5,-343.25
3288,1404,0.56,-10.51
1811,788,-36.7,-415.27
1822,788,-24.45,-260.61
1257,544,-30.68,-355.02
808,347,-29.92,-347.51
2136,910,0.46,-11.51
1402,570,-110.46,12.66
2033,878,-17.2,-188.12
3517,1491,-99.97,11.61
3562,1526,0.46,-11.51
2650,1152,-27.84,-326.65
1592,658,-327.26,34.33
241,67,-0.29,-18.97
1740,729,-0.29,-18.97
1325,533,-268.77,28.49
610,214,-117.54,13.36
2326,964,-455.85,50.41
928,401,-34.22,-390.45
2989,1297,-18.13,-197.43
2483,1039,-455.43,50.37
2549,1067,-134.31,15.04
618,214,-222.58,27.08
505,203,0.46,-11.51
2068,878,-0.29,-18.97
2119,910,-0.62,-22.33
3493,1484,0.46,-11.51
794,347,-44.71,-495.41
1457,637,-44.71,-495.41
3105,1333,-0.29,-18.97
613,256,-13.92,-155.29
182,38,-193.82,24.21
639,256,0.46,-11.51
3598,1565,-25.54,-271.47
955,384,-21.86,3.8
857,363,-10.4,-120.08
1119,471,0.46,-11.52
2202,952,-18.11,-197.17
2614,1110,0.46,-11.51
2125,910,0.46,-11.51
3004,1296,-0.29,-18.98
971,401,-152.44,16.85
3433,1485,-6.82,-84.29
929,384,0.45,-11.65
1366,570,0.46,-11.51
285,63,-483.3,53.16
261,68,-89.03,10.51
144,29,0.46,-11.51
3590,1569,-44.09,-489.16
1175,511,-40.6,-454.32
193,63,0.43,-11.77
2897,1244,-34.44,5.05
1342,570,-4.07,-56.82
1297,544,-1.03,-26.43
3069,1309,0.14,-14.7
2731,1150,-217.15,26.54
3076,1333,-19.76,-213.68
3080,1297,-194.16,21.03
3526,1492,-184.96,20.11
2454,1039,-73.64,8.97
748,315,-18.21,-198.16
296,68,-474.93,52.32
755,303,0.46,-11.51
3303,1441,-38.77,-435.94
3440,1502,-41.04,-458.68
1979,846,-0.29,-18.97
501,214,-34.04,-388.65
2472,1067,-8.26,-98.68
3160,1361,-24.76,4.09
177,63,-9.23,-108.4
2009,878,-44.51,-493.38
3452,1507,-40.1,-449.28
248,63,-3.63,0.31
1091,471,-29.67,-345.01
626,214,-327.91,37.62
2394,992,-358.49,40.68
1028,417,-0.29,-18.97
3078,1296,-191.82,20.79
1507,624,-385.5,40.16
3598,1569,-35.53,-403.57
980,392,-316.46,36.47
1741,726,0.46,-11.51
3347,1435,-175.93,19.2
1284,533,0.46,-11.51
1732,726,0.46,-11.51
2916,1255,0.46,-11.51
2900,1261,-29.09,-306.95
954,416,-44.1,-489.25
2742,1152,-341.56,35.76
2302,966,-314.99,36.32
756,311,-1.03,-26.44
3453,1502,-28.49,-301.03
180,67,-21.09,-226.94
3299,1427,-3.62,-52.28
725,286,-462,51.03
2076,872,0.46,-11.51
1201,518,-28.39,-300.03
2167,910,0.46,-11.51
3459,1502,-21.07,-226.76
265,68,-133.6,14.97
3129,1361,-26.94,-317.63
2339,992,0.46,-11.51
2884,1230,0.46,-11.51
1566,637,0.5,-9.18
3429,1492,-27.34,-321.68
2037,887,-37.78,-426.07
1216,518,-4.58,-61.91
3083,1309,-122.73,17.1
3036,1300,-1.78,-33.9
2974,1261,-0.29,-18.97
3193,1361,-415.44,46.37
1367,570,0.46,-11.51
3220,1404,-36.05,-408.82
1534,662,-27.98,-295.9
240,84,-1.78,-33.9
837,347,-1.04,-26.47
3411,1485,-31.34,-329.46
3553,1526,0.46,-11.51
925,384,-0.29,-18.97
2088,910,-40.97,-457.93
499,214,-36.64,-414.64
1313,537,-91.01,10.71
